type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
co-op for sale,359000,2,1.0,2184.207862,bayside,40.7838199,-73.78072,11360,bayside
co-op for sale,360000,2,2.0,2184.207862,bayside,40.7806336,-73.7800528,11360,bayside
co-op for sale,368000,2,2.0,2184.207862,bayside,40.784673,-73.775263,11360,bayside
co-op for sale,369000,1,1.0,2184.207862,bayside,40.784673,-73.775263,11360,bayside
condo for sale,16500000,5,4.0,4105.0,new york,40.7814599,-73.9806864,10023,new york
co-op for sale,385000,1,2.0,900.0,bayside,40.7839299,-73.77643,11360,bayside
co-op for sale,399000,3,2.0,1492.0,bayside,40.7812699,-73.78434,11360,bayside
co-op for sale,439000,2,1.0,900.0,bayside,40.7877465,-73.7810708,11360,bayside
co-op for sale,449000,2,2.0,1200.0,bayside,40.7812626,-73.7745671,11360,bayside
co-op for sale,479500,2,2.0,2184.207862,bayside,40.7824499,-73.7765099,11360,bayside
pending,498888,1,1.0,750.0,bayside,40.788818,-73.7867657,11360,bayside
co-op for sale,538888,3,2.0,1500.0,bayside,40.7807824,-73.7743544,11360,bayside
pending,539000,1,1.0,725.0,bayside,40.7865988,-73.7862803,11360,bayside
co-op for sale,599000,3,2.0,2184.207862,bayside,40.7839299,-73.77643,11360,bayside
condo for sale,15900000,4,4.0,3698.0,manhattan,40.7646573,-73.9744439,10019,manhattan
pending,659900,3,4.0,2184.207862,bayside,40.7855084,-73.7762312,11360,bayside
condo for sale,15500000,5,5.0,4193.0,manhattan,40.7766637,-73.9615947,10075,manhattan
condo for sale,15500000,4,4.0,4064.0,manhattan,40.7646573,-73.9744439,10019,manhattan
condo for sale,15500000,5,6.0,4134.0,manhattan,40.7744463,-73.9825007,10023,new york
condo for sale,15250000,4,5.0,4264.0,manhattan,40.7474926,-74.0072666,10011,new york
condo for sale,15000000,4,4.0,2184.207862,manhattan,40.7563378,-73.982217,10036,new york
condo for sale,15000000,2,2.0,2625.0,manhattan,40.7615061,-73.9717996,10022,new york
condo for sale,14995000,6,2.373860858,8500.0,brooklyn heights,40.6935342,-74.0002618,11201,brooklyn
condo for sale,14950000,4,4.0,4017.0,manhattan,40.780024,-73.9535283,10128,new york
condo for sale,14950000,3,4.0,3228.0,new york,40.7423282,-73.9911409,10010,new york
co-op for sale,595000,3,2.0,2184.207862,bedford-stuyvesant,40.6912661,-73.9418745,11221,brooklyn
condo for sale,13000000,4,4.0,3844.0,new york,40.7377131,-74.0087585,10014,new york
condo for sale,12995000,4,4.0,4155.0,new york,40.7207039,-74.0027289,10013,new york
condo for sale,12500000,3,2.0,4000.0,manhattan,40.7217614,-74.0013329,10013,manhattan
condo for sale,12500000,4,4.0,3550.0,manhattan,40.7266327,-74.0088321,10013,new york
condo for sale,12500000,4,4.0,2938.0,new york,40.714922,-74.0070262,10007,new york
condo for sale,12495000,4,3.0,2184.207862,new york,40.7265745,-73.9945558,10012,new york
house for sale,750000,2,2.0,2184.207862,bedford-stuyvesant,40.6834662,-73.9504976,11216,brooklyn
condo for sale,12000000,4,4.0,3809.0,new york,40.7174584,-74.0038831,10013,new york
pending,990000,2,2.0,960.0,bedford-stuyvesant,40.6900217,-73.945006,11216,brooklyn
condo for sale,11500000,6,7.0,4908.0,manhattan,40.7518261,-74.002774,10001,new york
condo for sale,11500000,5,5.0,5276.0,new york,40.7198832,-74.0033836,10013,manhattan
condo for sale,11000000,4,4.0,3452.0,new york,40.7450569,-74.0027927,10011,manhattan
condo for sale,10900000,5,6.0,3633.0,new york,40.7423282,-73.9911409,10010,new york
condo for sale,10850000,4,2.373860858,4372.0,new york,40.7895088,-73.9778147,10024,new york
condo for sale,10800000,5,6.0,4544.0,brooklyn heights,40.692916,-74.0008815,11201,brooklyn
condo for sale,10500000,3,3.0,2753.0,manhattan,40.7075029,-74.011653,10005,manhattan
co-op for sale,268800,1,1.0,725.0,bensonhurst,40.6086157,-73.9765291,11204,brooklyn
co-op for sale,270000,1,1.0,2184.207862,bensonhurst,40.6047809,-73.9920476,11214,brooklyn
condo for sale,9995000,3,4.0,2926.0,manhattan,40.7412931,-73.981837,10016,manhattan
condo for sale,9995000,4,4.0,2918.0,manhattan,40.7810722,-73.9599463,10028,new york
condo for sale,9995000,3,4.0,2950.0,manhattan,40.724558,-74.004173,10012,new york
condo for sale,9500000,4,4.0,3655.0,dumbo,40.7046228,-73.9878238,11201,brooklyn
condo for sale,9450000,2,3.0,3918.0,manhattan,40.7228178,-74.00088,10012,new york
condo for sale,8995000,5,4.0,4373.0,manhattan,40.7620381,-73.9808958,10019,manhattan
pending,499000,2,2.0,1358.0,bergen beach,40.6248278,-73.909396,11234,brooklyn
condo for sale,8950000,2,2.0,2270.0,manhattan,40.7412267,-73.9987741,10011,new york
condo for sale,8950000,3,4.0,2367.0,manhattan,40.7412267,-73.9987741,10011,manhattan
condo for sale,8900000,5,5.0,4297.0,new york,40.7779612,-73.9854593,10023,manhattan
condo for sale,8850000,3,4.0,5094.0,manhattan,40.7251196,-74.0049023,10013,manhattan
co-op for sale,418888,2,1.0,900.0,borough park,40.6339124,-74.0058434,11219,brooklyn
condo for sale,8575000,2,2.0,1830.0,manhattan,40.7680474,-73.9835169,10019,new york
condo for sale,8525000,4,4.0,2863.0,manhattan,40.7794854,-73.9561419,10028,new york
co-op for sale,229000,3,1.0,500.0,brighton beach,40.5822648,-73.9666622,11235,brooklyn
co-op for sale,257000,3,1.0,450.0,brighton beach,40.5756277,-73.9667833,11235,brooklyn
co-op for sale,258000,1,1.0,650.0,brighton beach,40.5759986,-73.960785,11235,brooklyn
co-op for sale,265000,3,1.0,650.0,brighton beach,40.5757325,-73.9679335,11235,brooklyn
co-op for sale,285000,1,1.0,900.0,brighton beach,40.5811062,-73.966749,11235,brooklyn
co-op for sale,289000,1,1.0,750.0,brighton beach,40.5764319,-73.9643613,11235,brooklyn
condo for sale,8500000,3,3.0,2080.0,manhattan,40.7710757,-73.9809771,10023,new york
co-op for sale,311000,1,1.0,780.0,brighton beach,40.5756277,-73.9667833,11235,brooklyn
condo for sale,8495000,3,4.0,4781.0,manhattan,40.7189873,-74.0038646,10013,manhattan
condo for sale,8250000,6,6.0,3920.0,new york,40.7250022,-73.9938611,10012,manhattan
condo for sale,7995000,3,4.0,2789.0,brooklyn heights,40.692916,-74.0008815,11201,brooklyn
co-op for sale,525000,2,1.0,1300.0,brighton beach,40.5751942,-73.9669983,11235,brooklyn
co-op for sale,529000,2,2.0,1200.0,brighton beach,40.5811062,-73.966749,11235,brooklyn
condo for sale,7995000,3,4.0,2184.207862,manhattan,40.7745073,-73.981428,10023,new york
co-op for sale,559500,1,1.0,800.0,brighton beach,40.5751942,-73.9669983,11235,brooklyn
condo for sale,7995000,4,4.0,2697.0,manhattan,40.715351,-74.0128441,10007,manhattan
co-op for sale,619000,2,2.0,1200.0,brighton beach,40.5768871,-73.9542132,11235,brooklyn
condo for sale,7995000,3,4.0,4412.0,new york,40.7449246,-73.9836051,10016,new york
condo for sale,7990000,5,4.0,5202.0,new york,40.7221603,-74.0078633,10013,new york
condo for sale,7750000,5,6.0,3701.0,brooklyn heights,40.692916,-74.0008815,11201,brooklyn
condo for sale,7750000,3,4.0,2855.0,new york,40.7868701,-73.9686086,10024,new york
house for sale,220000,3,2.373860858,1396.0,brooklyn,40.628358,-73.9339729,11234,brooklyn
co-op for sale,230000,1,1.0,2184.207862,brooklyn,40.6291705,-73.9575654,11230,brooklyn
house for sale,250000,3,1.0,1376.0,brooklyn,40.6212165,-73.9324344,11234,brooklyn
pending,250000,1,1.0,2184.207862,brooklyn,40.5838809,-73.9614297,11235,brighton beach
house for sale,275000,4,1.0,2184.207862,brooklyn,40.6366859,-73.9488175,11210,brooklyn
house for sale,285000,3,2.373860858,2184.207862,brooklyn,40.6695084,-73.8779921,11208,brooklyn
co-op for sale,297000,1,1.0,2184.207862,brooklyn,40.6013587,-74.0073583,11214,brooklyn
multi-family home for sale,300000,3,4.0,2184.207862,brooklyn,40.6601546,-73.9163716,11212,brooklyn
house for sale,314000,3,1.0,1572.0,brooklyn,40.6362368,-73.939679,11210,brooklyn
house for sale,330000,3,1.0,2184.207862,brooklyn,40.6604827,-73.9468571,11225,brooklyn
co-op for sale,345000,2,1.0,1000.0,brooklyn,40.5871907,-73.9840965,11214,brooklyn
co-op for sale,349000,2,1.0,800.0,brooklyn,40.6699639,-73.9428018,11213,crown heights
house for sale,350000,3,2.373860858,1520.0,brooklyn,40.6758271,-73.8828978,11208,brooklyn
condo for sale,7600000,4,4.0,3216.0,manhattan,40.7139639,-74.0127212,10007,new york
house for sale,380000,3,2.373860858,600.0,brooklyn,40.6789407,-73.8712984,11208,brooklyn
co-op for sale,399000,3,2.0,2184.207862,brooklyn,40.5866482,-73.9845156,11214,brooklyn
townhouse for sale,399985,2,1.0,1148.0,brooklyn,40.6570214,-73.9072202,11212,brownville
house for sale,400000,4,2.0,1980.0,brooklyn,40.665357,-73.8770867,11208,brooklyn
condo for sale,7500000,4,4.0,2811.0,manhattan,40.7127825,-74.0090376,10007,new york
house for sale,428000,3,3.0,2184.207862,brooklyn,40.6274951,-73.915694,11234,brooklyn
co-op for sale,429000,2,1.0,850.0,brooklyn,40.617623,-74.038637,11209,brooklyn
co-op for sale,445000,3,2.0,1250.0,brooklyn,40.5871907,-73.9840965,11214,brooklyn
co-op for sale,459000,3,2.0,1250.0,brooklyn,40.5866482,-73.9845156,11214,brooklyn
house for sale,460000,3,3.0,2256.0,brooklyn,40.641648,-73.9064568,11236,brooklyn
co-op for sale,475000,2,1.0,975.0,brooklyn,40.5989402,-73.9939759,11214,brooklyn
house for sale,485000,2,1.0,560.0,brooklyn,40.585215,-73.937245,11235,brooklyn
pending,485000,3,2.0,1200.0,brooklyn,40.5883839,-73.9910376,11214,brooklyn
multi-family home for sale,499000,5,2.0,2184.207862,brooklyn,40.6601399,-73.9354891,11203,brooklyn
multi-family home for sale,499000,3,3.0,2184.207862,brooklyn,40.6370243,-73.909613,11236,brooklyn
pending,500000,5,3.0,2472.0,brooklyn,40.6339137,-73.9982004,11219,brooklyn
condo for sale,7495000,4,4.0,2888.0,manhattan,40.7833319,-73.9815796,10024,new york
house for sale,520000,4,2.0,1701.0,brooklyn,40.6781418,-73.9250576,11233,brooklyn
condo for sale,6998000,4,4.0,3000.0,manhattan,40.7227325,-74.0101225,10013,new york
condo for sale,6895000,2,2.0,2114.0,manhattan,40.7663935,-73.9809909,10019,new york
house for sale,549000,2,2.0,1148.0,brooklyn,40.6658988,-73.9124097,11212,brooklyn
house for sale,550000,3,2.0,2184.207862,brooklyn,40.6498755,-73.9375091,11203,brooklyn
co-op for sale,550000,2,1.0,2184.207862,brooklyn,40.6487997,-74.0024232,11232,brooklyn
house for sale,551000,3,2.373860858,2184.207862,brooklyn,40.6214749,-73.932287,11234,brooklyn
pending,559900,5,2.0,1886.0,brooklyn,40.6211924,-73.905796,11234,brooklyn
multi-family home for sale,560000,3,2.373860858,2184.207862,brooklyn,40.632221,-73.955309,11210,brooklyn
house for sale,569000,2,1.0,840.0,brooklyn,40.6656889,-73.8773179,11208,brooklyn
