type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
house for sale,1699900,7,5.0,2418.0,bushwick,40.6898884,-73.9085265,11207,brooklyn
condo for sale,4200000,3,3.0,2584.0,manhattan,40.7142326,-74.0075258,10007,manhattan
condo for sale,4145000,2,2.0,1593.0,manhattan,40.715351,-74.0128441,10007,new york
condo for sale,3999999,2,2.0,1997.0,manhattan,40.7509451,-74.0035855,10001,new york
condo for sale,3995000,3,3.0,1637.0,manhattan,40.7435613,-74.0063336,10011,manhattan
co-op for sale,225000,2,1.0,789.0,castleton corners,40.6189484,-74.1071576,10301,brooklyn
condo for sale,3995000,4,3.0,2578.0,manhattan,40.7655712,-73.979561,10019,new york
condo for sale,3995000,2,2.0,1283.0,manhattan,40.7680474,-73.9835169,10019,new york
condo for sale,3995000,1,2.0,1560.0,manhattan,40.7403023,-73.9881731,10010,new york
condo for sale,3900000,2,2.0,1700.0,manhattan,40.7592091,-73.9760875,10022,new york
condo for sale,3895000,3,3.0,1884.0,manhattan,40.7069489,-74.0169068,10004,new york
condo for sale,3890000,3,4.0,2446.0,manhattan,40.7518502,-73.9725168,10017,new york
condo for sale,3795000,3,2.0,1887.0,brooklyn,40.702988,-73.9907803,11201,brooklyn
co-op for sale,429000,1,1.0,575.0,clinton hill,40.692675,-73.96429,11205,brooklyn
co-op for sale,650000,3,1.0,2184.207862,clinton hill,40.6837918,-73.9631445,11238,brooklyn
condo for sale,3795000,3,3.0,2250.0,manhattan,40.7747519,-73.9561067,10075,new york
co-op for sale,659000,1,1.0,440.0,cobble hill,40.6867525,-73.996485,11201,brooklyn
co-op for sale,720000,1,1.0,2184.207862,cobble hill,40.687871,-73.994454,11201,brooklyn
co-op for sale,750000,1,1.0,2184.207862,cobble hill,40.6880273,-73.9950123,11201,brooklyn
condo for sale,3795000,3,3.0,1981.0,manhattan,40.7630942,-73.9649721,10065,new york
condo for sale,3700000,3,3.0,1756.0,manhattan,40.7961886,-73.949116,10029,new york
condo for sale,3695000,2,2.0,1978.0,manhattan,40.774282,-73.9841771,10023,new york
condo for sale,3595000,3,3.0,1862.0,manhattan,40.7241961,-74.0091487,10013,new york
pending,199000,3,2.0,1100.0,concourse village,40.8344217,-73.914718,10456,bronx
co-op for sale,279900,1,1.0,900.0,concourse village,40.8301222,-73.9202611,10451,bronx
co-op for sale,300000,2,1.0,2184.207862,concourse village,40.8248699,-73.9229829,10451,bronx
co-op for sale,375000,2,1.0,850.0,concourse village,40.8248699,-73.9229829,10451,bronx
co-op for sale,255000,1,1.0,750.0,coney island,40.5792324,-73.9713245,11224,brooklyn
co-op for sale,300000,1,1.0,800.0,coney island,40.5774084,-73.9732594,11224,brooklyn
co-op for sale,319000,1,1.0,750.0,coney island,40.5781785,-73.9733314,11224,brooklyn
co-op for sale,329000,1,1.0,850.0,coney island,40.5792324,-73.9713245,11224,brooklyn
condo for sale,3595000,2,2.0,2184.207862,manhattan,40.7701937,-73.9829177,10023,new york
co-op for sale,349000,2,1.0,900.0,coney island,40.5781785,-73.9733314,11224,brooklyn
co-op for sale,349000,1,1.0,750.0,coney island,40.579147,-73.9709488,11224,brooklyn
co-op for sale,355000,2,1.0,1000.0,coney island,40.5782062,-73.973315,11224,brooklyn
co-op for sale,399000,2,2.0,1050.0,coney island,40.5776924,-73.9737314,11224,brooklyn
co-op for sale,399000,2,1.0,960.0,coney island,40.5792324,-73.9713245,11224,brooklyn
co-op for sale,419000,2,1.0,1000.0,coney island,40.5794182,-73.9709078,11224,brooklyn
co-op for sale,475000,2,2.0,1150.0,coney island,40.5794182,-73.9709078,11224,brooklyn
co-op for sale,479000,2,1.0,1100.0,coney island,40.5778092,-73.9728288,11224,brooklyn
co-op for sale,525000,3,2.0,2184.207862,coney island,40.5794182,-73.9709078,11224,brooklyn
condo for sale,3550000,3,2.0,2693.0,manhattan,40.7404065,-73.9970822,10011,new york
condo for sale,3550000,4,4.0,2120.0,manhattan,40.8115505,-73.959759,10027,manhattan
co-op for sale,119888,1,1.0,2184.207862,corona,40.7582228,-73.8559216,11368,corona
co-op for sale,149000,1,1.0,2184.207862,corona,40.7581299,-73.8569399,11368,corona
co-op for sale,150000,3,1.0,600.0,corona,40.7364499,-73.8584826,11368,corona
co-op for sale,160000,3,1.0,2184.207862,corona,40.7376451,-73.8581248,11368,corona
co-op for sale,169999,2,1.0,2184.207862,corona,40.7579027,-73.8562374,11368,corona
pending,205000,1,1.0,660.0,corona,40.7376662,-73.8566546,11368,corona
co-op for sale,318888,1,1.0,875.0,corona,40.736926,-73.8577614,11368,corona
co-op for sale,325000,2,1.0,2184.207862,corona,40.7373584,-73.8574251,11368,corona
co-op for sale,420000,3,2.0,1200.0,corona,40.7367277,-73.8586765,11368,corona
condo for sale,3500000,3,2.0,1896.0,prospect heights,40.6781953,-73.9702616,11238,brooklyn
co-op for sale,220000,1,1.0,500.0,crown heights,40.6699448,-73.9429395,11213,brooklyn
contingent,275000,3,1.0,363.0,crown heights,40.6770084,-73.9444319,11216,brooklyn
condo for sale,3345000,2,2.0,1875.0,manhattan,40.7194435,-74.0081022,10013,new york
co-op for sale,370000,1,1.0,680.0,crown heights,40.6747162,-73.944828,11213,brooklyn
co-op for sale,440000,2,1.0,2184.207862,crown heights,40.6733835,-73.9300041,11213,brooklyn
co-op for sale,459000,1,1.0,2184.207862,crown heights,40.677099,-73.9444709,11216,brooklyn
co-op for sale,475000,1,1.0,2184.207862,crown heights,40.671881,-73.961562,11238,brooklyn
townhouse for sale,595000,1,2.0,846.0,crown heights,40.6749628,-73.9401841,11213,brooklyn
co-op for sale,694000,2,1.0,2184.207862,crown heights,40.6657959,-73.9527658,11225,brooklyn
co-op for sale,699999,3,2.0,2184.207862,crown heights,40.6672186,-73.9566539,11213,crown heights
condo for sale,3300000,2,2.0,1652.0,new york,40.7720149,-73.9555341,10075,new york
pending,1695000,2,2.0,1572.0,crown heights,40.6750114,-73.9554645,11216,brooklyn
condo for sale,3250000,3,2.0,2292.0,manhattan,40.7175362,-73.9899587,10002,new york
condo for sale,3250000,2,2.0,1509.0,manhattan,40.7217442,-73.998107,10012,manhattan
multi-family home for sale,2100000,3,8.0,7984.0,crown heights,40.671868,-73.947826,11216,brooklyn
condo for sale,3200000,3,3.0,1820.0,park slope,40.6779373,-73.981685,11217,brooklyn
condo for sale,3150000,4,3.0,2263.0,manhattan,40.7967552,-73.9696417,10025,new york
co-op for sale,230000,1,1.0,2184.207862,douglaston,40.7670699,-73.74642,11363,douglaston
pending,249000,1,1.0,700.0,douglaston,40.7576008,-73.7355418,11362,douglaston
co-op for sale,339000,1,1.0,2184.207862,douglaston,40.7686099,-73.74772,11363,douglaston
condo for sale,3000000,1,2.0,1600.0,brooklyn heights,40.7015519,-73.995867,11201,brooklyn
pending,529900,1,1.0,630.0,downtown brooklyn,40.6985714,-73.9881911,11201,brooklyn
co-op for sale,564900,1,1.0,769.0,downtown brooklyn,40.697478,-73.988335,11201,brooklyn
co-op for sale,799000,2,2.0,1043.0,downtown brooklyn,40.6985714,-73.9881911,11201,brooklyn
co-op for sale,850000,2,2.0,2184.207862,downtown brooklyn,40.6965776,-73.9883987,11201,brooklyn
condo for sale,3000000,3,3.0,2100.0,new york,40.7590132,-73.9612618,10022,manhattan
condo for sale,2999999,4,4.0,3100.0,manhattan,40.7961886,-73.949116,10029,new york
condo for sale,2999999,2,2.0,1770.0,manhattan,40.7770031,-73.9611884,10075,new york
pending,1495000,1,1.0,814.0,downtown brooklyn,40.6903851,-73.9825343,11201,brooklyn
condo for sale,2995000,2,2.0,1452.0,manhattan,40.7803919,-73.9558923,10128,manhattan
pending,395000,3,2.373860858,381.0,dumbo,40.7028922,-73.9860614,11201,brooklyn
contingent,960000,1,1.0,834.0,dumbo,40.7032891,-73.9891782,11201,brooklyn
condo for sale,2995000,4,3.0,2135.0,manhattan,40.802892,-73.957154,10026,manhattan
condo for sale,2995000,2,2.0,1784.0,manhattan,40.762394,-73.9739039,10022,new york
condo for sale,2980000,3,3.0,1756.0,new york,40.7961886,-73.949116,10029,new york
condo for sale,2950000,3,2.0,1709.0,brooklyn heights,40.6935342,-74.0002618,11201,brooklyn
condo for sale,2850000,3,2.0,1912.0,southside,40.7102929,-73.9660133,11249,brooklyn
condo for sale,2800000,2,2.0,1188.0,manhattan,40.792204,-73.9655642,10025,new york
co-op for sale,279000,1,1.0,600.0,dyker heights,40.6220567,-74.0200513,11228,brooklyn
condo for sale,2800000,3,2.0,1687.0,manhattan,40.8115505,-73.959759,10027,manhattan
condo for sale,2800000,3,3.0,3341.0,southside,40.7096014,-73.9682173,11249,brooklyn
condo for sale,2799000,3,3.0,2350.0,brooklyn,40.6676042,-73.9931265,11215,brooklyn
condo for sale,2795000,3,3.0,1689.0,manhattan,40.7715251,-73.9895943,10019,manhattan
condo for sale,2795000,2,2.0,965.0,new york county,40.735321,-73.9941315,10003,new york
condo for sale,2750000,3,3.0,2782.0,brooklyn,40.6811053,-74.0098135,11231,brooklyn
condo for sale,2750000,2,2.0,1892.0,manhattan,40.7345957,-73.9855511,10003,new york
condo for sale,2750000,2,2.0,1488.0,manhattan,40.7155919,-73.9912903,10002,manhattan
condo for sale,2750000,2,2.0,1856.0,manhattan,40.7730877,-73.9538262,10075,new york
condo for sale,2700000,3,3.0,1398.0,greenpoint,40.7320824,-73.9610327,11222,brooklyn
condo for sale,2700000,3,3.0,1689.0,manhattan,40.7715251,-73.9895943,10019,manhattan
co-op for sale,97500,2,1.0,791.0,east bronx,40.8279037,-73.881623,10472,bronx
co-op for sale,105000,3,1.0,656.0,east bronx,40.8560699,-73.8688751,10462,bronx
co-op for sale,119000,1,1.0,650.0,east bronx,40.8522378,-73.8655788,10462,bronx
co-op for sale,125000,1,1.0,728.0,east bronx,40.8560699,-73.8688751,10462,bronx
co-op for sale,129000,1,1.0,750.0,east bronx,40.8995193,-73.8623678,10470,bronx
co-op for sale,130000,1,1.0,720.0,east bronx,40.8527259,-73.8670374,10462,bronx
co-op for sale,133000,1,1.0,630.0,east bronx,40.8720291,-73.8695302,10467,bronx
co-op for sale,136999,1,1.0,750.0,east bronx,40.8533818,-73.8651554,10462,bronx
co-op for sale,140000,3,1.0,507.0,east bronx,40.8992144,-73.8624103,10470,bronx
co-op for sale,149000,1,1.0,750.0,east bronx,40.9010021,-73.8627053,10470,bronx
co-op for sale,149999,1,1.0,850.0,east bronx,40.8992144,-73.8624103,10470,bronx
co-op for sale,165000,1,1.0,875.0,east bronx,40.8994229,-73.8706379,10470,bronx
co-op for sale,169500,1,1.0,2184.207862,east bronx,40.8531021,-73.8636237,10462,bronx
co-op for sale,169900,2,1.0,900.0,east bronx,40.8363523,-73.865036,10460,bronx
co-op for sale,183000,1,1.0,831.0,east bronx,40.8552565,-73.8693804,10462,bronx
co-op for sale,189000,2,1.0,800.0,east bronx,40.8522362,-73.8655005,10462,bronx
co-op for sale,229000,2,1.0,950.0,east bronx,40.8995193,-73.8623678,10470,bronx
co-op for sale,269500,2,1.0,2184.207862,east bronx,40.8531021,-73.8636237,10462,bronx
co-op for sale,289000,3,1.0,2184.207862,east bronx,40.8563536,-73.865974,10462,bronx
co-op for sale,298000,3,2.0,1100.0,east bronx,40.8363242,-73.8654755,10460,bronx
co-op for sale,299999,2,1.0,857.0,east bronx,40.8227774,-73.8084775,10465,bronx
co-op for sale,299999,2,1.0,863.0,east bronx,40.822441,-73.8110424,10465,bronx
co-op for sale,329999,2,1.0,950.0,east bronx,40.8214206,-73.8759785,10473,bronx
condo for sale,2649000,3,3.0,1699.0,manhattan,40.7463283,-73.972718,10016,new york
condo for sale,2649000,3,3.0,1500.0,manhattan,40.7473345,-73.9848617,10016,manhattan
house for sale,638000,3,2.0,1728.0,east bronx,40.814845,-73.8159564,10465,nyc
co-op for sale,659000,3,2.0,1300.0,east bronx,40.8224429,-73.8109606,10465,bronx
condo for sale,2600000,3,2.0,1729.0,manhattan,40.733031,-73.9850368,10003,new york
co-op for sale,189999,1,1.0,2184.207862,east elmhurst,40.7586799,-73.8755,11369,east elmhurst
co-op for sale,232000,1,1.0,750.0,east elmhurst,40.7583699,-73.87924,11369,east elmhurst
co-op for sale,299000,1,1.0,700.0,east elmhurst,40.7585599,-73.87738,11369,east elmhurst
condo for sale,2595000,3,3.0,1449.0,manhattan,40.7833546,-73.9499982,10128,manhattan
condo for sale,2550000,3,2.0,1525.0,manhattan,40.7631417,-73.9906014,10019,new york
house for sale,479900,3,2.0,1088.0,east new york,40.6567481,-73.8802564,11207,brooklyn
condo for sale,2500000,2,2.0,1250.0,new york,40.7578531,-73.9923304,10036,new york
house for sale,660000,3,2.0,2184.207862,east new york,40.6574259,-73.8808077,11207,brooklyn
condo for sale,2500000,2,2.0,1111.0,williamsburg,40.7208528,-73.9609091,11249,brooklyn
multi-family home for sale,848000,5,4.0,2080.0,east new york,40.6615475,-73.898309,11207,brooklyn
townhouse for sale,998000,6,2.373860858,2236.0,east new york,40.6623484,-73.8914648,11207,brooklyn
multi-family home for sale,471300,4,2.0,2175.0,east new york,40.6629386,-73.8878146,11207,brooklyn
house for sale,599000,3,2.0,2184.207862,east new york,40.6645719,-73.8995034,11207,brooklyn
house for sale,210000,3,2.373860858,1840.0,east new york,40.664748,-73.884184,11207,brooklyn
multi-family home for sale,681000,6,3.0,2184.207862,east new york,40.6648825,-73.8826911,11207,brooklyn
multi-family home for sale,949000,5,4.0,2184.207862,east new york,40.6651608,-73.8881575,11207,brooklyn
townhouse for sale,999000,7,4.0,2184.207862,east new york,40.6656785,-73.8916486,11207,brooklyn
pending,199999,9,3.0,2184.207862,east new york,40.666792,-73.894205,11207,brooklyn
house for sale,215000,4,2.0,2000.0,east new york,40.6694978,-73.8897534,11207,brooklyn
pending,299999,2,1.0,650.0,east new york,40.657696,-73.8764091,11208,brooklyn
pending,119000,3,1.0,2184.207862,elmhurst,40.7306154,-73.8731934,11373,elmhurst
co-op for sale,200000,1,1.0,2184.207862,elmhurst,40.7304899,-73.8735933,11373,queens
co-op for sale,249000,3,1.0,2184.207862,elmhurst,40.7420053,-73.8901926,11373,elmhurst
co-op for sale,259000,1,1.0,2184.207862,elmhurst,40.7365072,-73.8733466,11373,elmhurst
co-op for sale,299000,1,1.0,800.0,elmhurst,40.7365158,-73.8687964,11373,elmhurst
co-op for sale,339999,1,1.0,825.0,elmhurst,40.7402133,-73.8868828,11373,elmhurst
co-op for sale,397000,2,1.0,1000.0,elmhurst,40.7381747,-73.8785246,11373,elmhurst
condo for sale,2495000,1,2.0,1218.0,manhattan,40.7298815,-74.0073131,10014,new york
co-op for sale,399000,2,1.0,1090.0,elmhurst,40.7455899,-73.8778899,11373,elmhurst
co-op for sale,430000,2,2.0,2184.207862,elmhurst,40.7438639,-73.8745722,11373,elmhurst
condo for sale,2488000,2,2.0,1483.0,manhattan,40.7114624,-74.0059409,10038,new york
co-op for sale,468000,2,1.0,1200.0,elmhurst,40.7455899,-73.8778899,11373,elmhurst
condo for sale,2449000,3,2.0,1744.0,manhattan,40.7735704,-73.9461541,10028,new york
co-op for sale,495000,2,2.0,800.0,elmhurst,40.7365199,-73.87008,11373,elmhurst
co-op for sale,529000,2,2.0,1200.0,elmhurst,40.7438826,-73.8873872,11373,elmhurst
condo for sale,2400000,2,2.0,1375.0,manhattan,40.782249,-73.958665,10128,manhattan
condo for sale,2400000,1,2.0,1427.0,manhattan,40.7613258,-73.9774014,10019,manhattan
condo for sale,2375000,2,2.0,986.0,queens,40.7478785,-73.9444755,11101,queens
condo for sale,2350000,4,2.0,1847.0,manhattan,40.8101077,-73.9546373,10027,new york
condo for sale,2350000,2,2.0,1572.0,manhattan,40.7422513,-74.0010561,10011,manhattan
condo for sale,2350000,2,2.0,1628.0,manhattan,40.7602847,-73.9668148,10022,manhattan
multi-family home for sale,1800000,11,6.0,5000.0,elmhurst,40.7422281,-73.8832744,11373,elmhurst
co-op for sale,100000,3,1.0,512.0,far rockaway,40.6042895,-73.7478287,11691,far rockaway
co-op for sale,135000,1,1.0,792.0,far rockaway,40.6030799,-73.74755,11691,far rockaway
co-op for sale,165000,1,1.0,2184.207862,far rockaway,40.6053247,-73.7581283,11691,far rockaway
condo for sale,2350000,2,2.0,1428.0,manhattan,40.7417244,-73.9835246,10016,new york
condo for sale,2350000,1,2.0,1144.0,new york,40.7449256,-74.0057175,10011,manhattan
co-op for sale,205000,1,1.0,1000.0,fieldston,40.8850075,-73.9070017,10463,bronx
co-op for sale,209000,1,1.0,1078.0,fieldston,40.8915963,-73.8989828,10471,bronx
co-op for sale,325000,2,2.0,2184.207862,fieldston,40.8890553,-73.9033819,10463,bronx
co-op for sale,340000,2,1.0,900.0,fieldston,40.8919476,-73.8973687,10471,bronx
co-op for sale,209000,1,1.0,2184.207862,flatbush,40.6456538,-73.9636266,11360,bayside
co-op for sale,539000,1,1.0,2184.207862,flatbush,40.6419847,-73.9614428,11226,brooklyn
co-op for sale,590000,2,1.0,800.0,flatbush,40.6311681,-73.9610093,11230,brooklyn
co-op for sale,699000,2,2.0,1400.0,flatbush,40.6535119,-73.9571389,11226,brooklyn
condo for sale,2300000,1,2.0,1100.0,manhattan,40.7761296,-73.960619,10075,manhattan
condo for sale,2300000,2,2.0,1163.0,manhattan,40.7666839,-73.9527719,10021,new york
co-op for sale,155000,3,1.0,2184.207862,flatlands,40.6299057,-73.9265933,11234,brooklyn
co-op for sale,179000,1,1.0,2184.207862,flatlands,40.6192487,-73.9324,11234,brooklyn
co-op for sale,200000,1,1.0,700.0,flatlands,40.6297036,-73.9255951,11234,brooklyn
co-op for sale,350000,3,2.0,1100.0,flatlands,40.6297036,-73.9255951,11234,brooklyn
multi-family home for sale,1299999,7,5.0,2184.207862,flatlands,40.627685,-73.918487,11234,brooklyn
co-op for sale,985000,3,2.0,2184.207862,flushing,40.7518439,-73.8822788,11372,queens
co-op for sale,368000,2,1.0,950.0,flushing,40.7715386,-73.8302815,11354,flushing
co-op for sale,173000,3,1.0,500.0,flushing,40.7172419,-73.8336819,11375,forest hills
co-op for sale,185000,3,1.0,400.0,flushing,40.722253,-73.855654,11375,forest hills
co-op for sale,195000,1,1.0,2184.207862,flushing,40.7659255,-73.7453922,11363,douglaston
co-op for sale,198000,3,1.0,2184.207862,flushing,40.756144,-73.8213672,11355,flushing
co-op for sale,199000,1,1.0,2184.207862,flushing,40.7288599,-73.82754,11367,flushing
co-op for sale,210000,2,1.0,1000.0,flushing,40.734848,-73.8232512,11367,flushing
co-op for sale,219000,1,1.0,2184.207862,flushing,40.7315119,-73.8286528,11367,kew gardens hills
co-op for sale,219000,1,1.0,2184.207862,flushing,40.7617299,-73.79176,11358,flushing
co-op for sale,222888,2,1.0,2184.207862,flushing,40.7352139,-73.8226982,11367,flushing
co-op for sale,230000,1,1.0,2184.207862,flushing,40.736005,-73.849174,11375,forest hills
co-op for sale,235000,1,1.0,2184.207862,flushing,40.7315119,-73.8286528,11367,flushing
co-op for sale,248000,1,1.0,800.0,flushing,40.7741978,-73.8256676,11354,flushing
co-op for sale,255000,1,1.0,2184.207862,flushing,40.7315119,-73.8286528,11367,flushing
co-op for sale,258000,3,1.0,500.0,flushing,40.7666016,-73.8157611,11354,flushing
co-op for sale,259000,3,1.0,2184.207862,flushing,40.7531191,-73.8818757,11372,jackson heights
co-op for sale,268000,1,1.0,850.0,flushing,40.7741978,-73.8256676,11354,flushing
co-op for sale,268000,1,1.0,660.0,flushing,40.7739672,-73.8277862,11354,flushing
co-op for sale,268000,2,1.0,950.0,flushing,40.7757085,-73.8271079,11354,flushing
co-op for sale,268000,1,1.0,750.0,flushing,40.7295527,-73.8272075,11367,flushing
co-op for sale,269000,3,1.0,2184.207862,flushing,40.7592939,-73.8203855,11355,flushing
co-op for sale,275000,1,1.0,2184.207862,flushing,40.7528774,-73.8211834,11355,flushing
co-op for sale,278000,1,1.0,750.0,flushing,40.7306353,-73.8276823,11367,flushing
co-op for sale,278000,1,1.0,2184.207862,flushing,40.7439196,-73.8992843,11377,woodside
co-op for sale,280000,1,1.0,2184.207862,flushing,40.7533266,-73.8265256,11355,flushing
co-op for sale,284888,1,1.0,2184.207862,flushing,40.748924,-73.8857529,11372,jackson heights
co-op for sale,290000,1,1.0,2184.207862,flushing,40.7298599,-73.81851,11378,flushing
co-op for sale,299000,2,1.0,2184.207862,flushing,40.7626299,-73.78916,11358,flushing
co-op for sale,299000,1,1.0,850.0,flushing,40.7313319,-73.8284665,11367,flushing
co-op for sale,299000,1,1.0,2184.207862,flushing,40.7607762,-73.8197115,11355,flushing
co-op for sale,299000,3,1.0,650.0,flushing,40.7533589,-73.8250479,11355,flushing
co-op for sale,299000,1,1.0,700.0,flushing,40.7547282,-73.8859706,11372,jackson heights
co-op for sale,300000,3,1.0,2184.207862,flushing,40.7528037,-73.876822,11372,jackson heights
co-op for sale,318000,1,1.0,748.0,flushing,40.7604949,-73.7815883,11361,bayside
co-op for sale,319000,2,1.0,925.0,flushing,40.7355842,-73.8491198,11375,forest hills
co-op for sale,325000,2,1.0,2184.207862,flushing,40.7280894,-73.8494828,11375,forest hills
co-op for sale,328000,1,1.0,800.0,flushing,40.743059,-73.880983,11373,elmhurst
co-op for sale,330000,1,1.0,656.0,flushing,40.7843012,-73.7761962,11360,bayside
co-op for sale,338000,1,1.0,2184.207862,flushing,40.7522642,-73.8878675,11372,jackson heights
co-op for sale,338000,2,1.0,2184.207862,flushing,40.7272797,-73.8163427,11367,flushing
co-op for sale,345000,1,1.0,900.0,flushing,40.7606023,-73.8222658,11355,flushing
co-op for sale,345000,2,1.0,2184.207862,flushing,40.7233159,-73.858254,11374,rego park
condo for sale,2300000,2,2.0,1035.0,manhattan,40.779437,-73.97814,10023,new york
condo for sale,2300000,3,3.0,1700.0,manhattan,40.7462651,-73.972462,10016,new york
co-op for sale,359000,2,1.0,950.0,flushing,40.7733297,-73.8274665,11354,flushing
co-op for sale,369000,2,1.0,2184.207862,flushing,40.753455,-73.8209077,11355,flushing
co-op for sale,378000,2,1.0,2184.207862,flushing,40.7341999,-73.81974,11367,flushing
co-op for sale,379000,2,1.0,900.0,flushing,40.7282764,-73.8208847,11367,kew gardens hills
co-op for sale,379000,2,1.0,900.0,flushing,40.7194655,-73.8183058,11367,flushing
co-op for sale,385000,2,2.0,2184.207862,flushing,40.7839472,-73.774951,11360,bayside
co-op for sale,385000,1,1.0,2184.207862,flushing,40.7505242,-73.8847507,11372,jackson heights
co-op for sale,389000,1,1.0,900.0,flushing,40.7427717,-73.8796707,11373,elmhurst
co-op for sale,398000,3,1.0,1000.0,flushing,40.7756728,-73.827111,11354,flushing
co-op for sale,399000,1,1.0,2184.207862,flushing,40.7531191,-73.8818757,11372,jackson heights
co-op for sale,399000,1,1.0,2184.207862,flushing,40.7282586,-73.8513251,11375,forest hills
co-op for sale,399000,2,1.0,2184.207862,flushing,40.7544847,-73.8740993,11372,jackson heights
co-op for sale,399000,1,1.0,2184.207862,flushing,40.721991,-73.8393784,11375,forest hills
co-op for sale,399990,2,1.0,1000.0,flushing,40.7213566,-73.8414009,11375,forest hills
condo for sale,2295000,2,2.0,1242.0,manhattan,40.7241501,-74.0080814,10013,new york
co-op for sale,416000,3,1.0,950.0,flushing,40.763716,-73.816271,11354,flushing
co-op for sale,419000,2,1.0,2184.207862,flushing,40.7312799,-73.8192399,11367,flushing
co-op for sale,430000,2,1.0,2184.207862,flushing,40.7472542,-73.8978152,11377,woodside
co-op for sale,438000,1,1.0,900.0,flushing,40.7607942,-73.8258766,11354,flushing
co-op for sale,438000,2,1.0,2184.207862,flushing,40.743059,-73.880983,11373,elmhurst
co-op for sale,440000,2,1.0,2184.207862,flushing,40.7499534,-73.8912443,11372,jackson heights
co-op for sale,445000,3,2.0,2184.207862,flushing,40.7547252,-73.8255572,11355,flushing
co-op for sale,448000,3,1.0,2184.207862,flushing,40.7932677,-73.7984822,11357,whitestone
condo for sale,2295000,3,3.0,1615.0,manhattan,40.7641145,-73.9651826,10065,new york
condo for sale,2265000,2,2.0,1123.0,manhattan,40.710456,-73.991235,10002,new york
co-op for sale,458000,2,1.0,2184.207862,flushing,40.750966,-73.885177,11372,jackson heights
co-op for sale,458000,2,2.0,2184.207862,flushing,40.7566557,-73.8232967,11355,flushing
co-op for sale,459000,2,1.0,950.0,flushing,40.7607942,-73.8258766,11354,flushing
condo for sale,2255000,2,2.0,1450.0,manhattan,40.764655,-73.994257,10019,new york
condo for sale,2250000,2,2.0,1334.0,brooklyn,40.6819719,-73.9903277,11217,brooklyn
co-op for sale,488888,2,2.0,2184.207862,flushing,40.7560103,-73.8249483,11355,flushing
co-op for sale,498000,2,2.0,2184.207862,flushing,40.7843012,-73.7761962,11360,bayside
condo for sale,2250000,1,1.0,2184.207862,manhattan,40.737308,-74.0046666,10014,manhattan
co-op for sale,535000,3,2.0,1350.0,flushing,40.7607942,-73.8258766,11354,flushing
condo for sale,2250000,3,1.0,1710.0,manhattan,40.7228727,-74.0083077,10013,manhattan
condo for sale,2250000,3,2.0,2184.207862,park slope,40.6731905,-73.9835999,11215,brooklyn
condo for sale,2249000,2,3.0,2321.0,manhattan,40.7486775,-73.9819284,10016,new york
condo for sale,2245000,2,3.0,1724.0,manhattan,40.7779756,-73.9551546,10028,new york
condo for sale,2225000,2,2.0,1420.0,manhattan,40.744042,-73.9755798,10016,new york
condo for sale,2200000,3,4.0,1779.0,manhattan,40.7685084,-73.9499965,10021,manhattan
condo for sale,2200000,2,2.0,2035.0,manhattan,40.7708684,-73.966733,10021,manhattan
co-op for sale,575000,2,2.0,2184.207862,flushing,40.7287304,-73.8540818,11374,rego park
condo for sale,2200000,2,2.0,1308.0,manhattan,40.7740269,-73.9632939,10021,manhattan
condo for sale,2195000,3,2.0,1708.0,manhattan,40.7629604,-73.9705452,10022,new york
co-op for sale,579000,2,1.0,2184.207862,flushing,40.7531191,-73.8818757,11372,jackson heights
co-op for sale,579000,3,2.0,1200.0,flushing,40.7346339,-73.8602384,11374,rego park
condo for sale,2175000,2,2.0,1666.0,manhattan,40.771979,-73.9889567,10023,new york
co-op for sale,595000,2,2.0,1075.0,flushing,40.7487647,-73.8834851,11372,jackson heights
condo for sale,2150000,3,1.0,750.0,manhattan,40.7696597,-73.962084,10021,new york
condo for sale,2150000,3,3.0,1315.0,manhattan,40.7791164,-73.9482901,10128,new york
condo for sale,2150000,2,2.0,1711.0,manhattan,40.771979,-73.9889567,10023,manhattan
condo for sale,2110000,2,2.0,1326.0,manhattan,40.7367893,-73.9799267,10010,manhattan
condo for sale,2100000,3,3.0,1638.0,manhattan,40.7585686,-73.9669708,10022,manhattan
condo for sale,2099000,2,2.0,1447.0,downtown brooklyn,40.7019045,-73.9844236,11201,brooklyn
condo for sale,2099000,3,2.0,1711.0,dumbo,40.7019735,-73.9869044,11201,brooklyn
condo for sale,2095000,2,2.0,1600.0,manhattan,40.7603031,-73.9610497,10022,new york
condo for sale,2045000,3,2.0,1039.0,manhattan,40.7644959,-73.9851321,10019,new york
condo for sale,2000000,2,2.0,1441.0,brooklyn heights,40.692916,-74.0008815,11201,brooklyn
condo for sale,2000000,4,4.0,3000.0,manhattan,40.7573479,-73.9614914,10022,new york
condo for sale,2000000,4,3.0,2000.0,manhattan,40.7557937,-73.9642805,10022,new york
condo for sale,2000000,1,2.0,1321.0,manhattan,40.7159753,-74.0083683,10013,manhattan
condo for sale,1999999,3,3.0,1800.0,brighton beach,40.5770098,-73.958346,11235,brooklyn
co-op for sale,670000,2,2.0,2184.207862,flushing,40.7843012,-73.7761962,11360,bayside
condo for sale,1999999,3,2.0,1865.0,brooklyn,40.7213959,-73.9430921,11222,brooklyn
co-op for sale,689000,3,2.0,1500.0,flushing,40.7563916,-73.9071359,11377,queens
